"1008","1","1008","1008","0"
"976","1","976","976","0"
"968","1","968","968","0"
"920","1","920","920","0"
"848","1","848","848","0"
"847","1","847","847","0"
"845","1","845","845","0"
"893","2","48","845","0"
"889","2","48","841","0"
"885","2","48","837","0"
"957","2","120","837","0"
"829","2","120","709","0"
"797","2","120","677","0"
"733","2","120","613","0"
"765","3","32","613","0"
"717","3","32","565","0"
"701","3","32","549","0"
"677","3","32","525","0"
"681","4","4","525","1"
"673","4","4","517","1"
"669","4","4","513","1"
"605","4","4","449","1"
"349","4","4","193","1"
"477","4","32","193","0"
"445","4","32","161","0"
"461","5","16","161","0"
"429","5","16","132","0"
"365","5","16","132","0"
"397","5","16","164","0"
"333","5","16","164","0"
"301","5","16","164","0"
"253","5","16","116","0"
"317","5","16","129","0"
"189","5","1","116","1"
"253","6","1","116","1"
"237","6","1","116","1"
"221","6","1","116","1"
"205","6","1","100","1"
"189","6","1","84","1"
"173","6","1","68","1"
"141","6","1","64","1"
"140","6","1","64","1"
"172","7","1","64","1"
"173","6","1","68","1"
"109","6","1","64","2"
"93","6","1","48","2"
"349","6","1","304","2"
"333","6","1","288","2"
"269","6","1","224","2"
"253","6","1","208","2"
"237","6","1","192","2"
"221","6","1","176","2"
"93","6","1","48","2"
"157","7","1","64","2"
"173","8","1","64","2"
"189","8","1","64","2"
"205","7","1","112","2"
"221","7","1","128","2"
"237","8","1","128","2"
"253","8","1","144","2"
"269","8","1","144","2"
"285","8","1","144","2"
"301","8","1","144","2"
"317","8","1","144","2"
"445","8","4","144","1"
"449","8","4","148","1"
"481","8","4","148","1"
"529","8","4","148","1"
"593","9","4","148","1"
"641","9","4","148","1"
"769","8","4","356","1"
"513","8","4","129","1"
"577","7","24","132","0"
"833","7","24","356","0"
"769","7","24","356","0"
"833","6","24","356","0"
"897","6","24","356","0"
"865","6","24","356","0"
"897","6","24","356","0"
"905","6","24","364","0"
"929","5","24","680","0"
"961","4","32","680","0"
"993","3","32","841","0"
"997","3","32","845","0"
"999","3","32","847","0"
"1000","2","32","968","0"
"1008","1","1008","1008","0"
"1024","1","1024","1024","0"
